PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
AQ;BAHIA DEL DIABLO;2665;1095;20110399;20010399;12.9;;-2550;270;S. Marinsek (1,2), E. Ermolin (1);(1) Instituto Antarctico Argentino, Buenos Aires, AR, (2) Univ. Tecnologica National, Facultad Regional Buenos Aires, AR;Marinsek, S., and E. Ermolin, 2015, Ann. Glaciol., 56, 141-146, 10.3189/2015AoG70A958;
AQ;HURD;3367;1244;20001215;19561215;4.73;-510;-3600;4400;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Molina, C., et al., 2007, Ann. Glaciol., 46, 43-49, 10.3189/172756407782871765";Methods used for survey/reference years are: AP/TG.
AQ;JOHNSONS;3366;1243;20009999;19569999;5.61;-10;-7500;4400;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Molina, C., et al., 2007, Ann. Glaciol., 46, 43-49, 10.3189/172756407782871765";Methods used for survey/reference years are: AP/TG.
AR;BROWN SUPERIOR;3903;1676;20150503;20140424;0.1751;-7.4;-2652;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig companies BEASA and MAGSA.
AR;CHICO;3368;1245;20010930;19750315;192.7;;-45148;;;;Rivera, A., et al., 2005, J. Glaciol., 51, 105-112, 10.3189/172756505781829557;Combination aerial photograph - ASTER/GPS.
AR;CONCONTA NORTE;3902;1674;20150506;20140423;0.0704;-7.9;-3211;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig companies BEASA and MAGSA.
AR;DE LOS TRES;1675;1029;19980315;19630301;0.976;-60;-2340;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Popovnin, V.V., et al., 2006, Mater. Glyatsol. Issled., 100, 141-151";Methods used for survey/reference years are: AP/TP.
AR;FRIAS;1661;1020;19950515;19750315;28;0;-23650;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/AP.
AR;FRIAS;1661;1022;20000210;19750315;28;0;-46000;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;FRIAS;1661;1021;20000210;19950515;28;0;-22350;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;LOS AMARILLOS;3904;1678;20150399;20140305;0.7796;-72;-1219;10;Gabriel Cabrera - IANIGLA;CGM Consultoria & Gestion Integral de Montania, Mitre 3200, Coquimbito-Maipu, 5515 Mendoza, Argentina;;2014/15 glacier monitoring report submitted to San Juan Province Government, Argentina, by the mininig company BEASA.
AR;MARTIAL ESTE;2000;1036;19980315;19840315;0.093;-10;-7000;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Strelin, J., and R. Iturraspe, 2007, Global Planet. Change, 59, 17-26, 10.1016/j.gloplacha.2006.11.019";Methods used for survey/reference years are: TS/TS.
AR;MORENO;920;748;20000210;19750315;238;0;-10500;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;UPSALA;921;761;20000210;19680701;836;0;-23040;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
AR;VIEDMA;3369;1246;20000210;19680701;891;0;-320;;;;"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rignot, E., et al., 2003, Science, 302, 434-437, 10.1126/science.1087393";Methods used for survey/reference years are: AP/SI.
